"LEAID","FIPST","YEAR","V33","A09","C10","C25","OPERATIONAL_SCHOOLS","SCHLEV","AGCHRT","GSLO","GSHI","LOCALE","URBANICITY"
"4665250","46",7,-2,0,0,0,0,"06","N","N","N",NA,NA
"4665460","46",7,1140,33000,3000,563000,9,"03","3","PK","12","43","Rural"
"4666270","46",7,19947,3817000,65000,3246000,49,"03","3","PK","12","12","Urban"
"4666300","46",7,589,169000,1000,57000,3,"03","3","KG","12","42","Rural"
"4666900","46",7,88,23000,0,13000,3,"03","3","PK","12",NA,NA
"4666930","46",7,1974,330000,4000,178000,4,"03","3","PK","12","32","Town"
"4669540","46",7,135,24000,0,32000,3,"03","3","PK","12",NA,NA
"4669930","46",7,2548,607000,5000,368000,13,"03","3","PK","12","41","Rural"
"4670000","46",7,NA,NA,NA,NA,0,NA,NA,"N","N","43","Rural"
"4670140","46",7,137,25000,0,36000,3,"03","3","PK","12","43","Rural"
"4671880","46",7,257,31000,1000,65000,3,"03","3","PK","12","43","Rural"
"4672090","46",7,1936,15000,5000,718000,12,"03","3","PK","12","43","Rural"
"4672450","46",7,219,38000,1000,92000,6,"03","3","KG","12","43","Rural"
"4674370","46",7,1308,359000,3000,187000,4,"03","3","KG","12","32","Town"
"4674520","46",7,257,79000,1000,45000,3,"03","3","PK","12","43","Rural"
"4675420","46",7,852,74000,2000,289000,4,"03","3","PK","12","43","Rural"
"4675570","46",7,NA,NA,NA,NA,-2,NA,NA,"N","N",NA,NA
"4675600","46",7,228,10000,1000,107000,2,"03","3","PK","12","42","Rural"
"4675660","46",7,253,56000,1000,27000,4,"03","3","KG","12","43","Rural"
"4676020","46",7,300,93000,1000,29000,3,"03","3","KG","12","42","Rural"
"4676620","46",7,3751,719000,8000,440000,8,"03","3","PK","12","33","Town"
"4676680","46",7,202,31000,1000,68000,3,"03","3","PK","12","43","Rural"
"4676740","46",7,145,26000,0,25000,3,"03","3","PK","12","42","Rural"
"4676990","46",7,468,71000,1000,75000,3,"03","3","PK","12","43","Rural"
"4677460","46",7,272,45000,1000,71000,6,"03","3","PK","12","43","Rural"
"4678300","46",7,377,102000,1000,63000,5,"03","3","KG","12","43","Rural"
"4678510","46",7,154,30000,0,43000,3,"03","3","KG","12","43","Rural"
"4678570","46",7,369,18000,1000,148000,5,"03","3","PK","12","43","Rural"
"4679350","46",7,207,31000,1000,58000,5,"03","3","PK","12","43","Rural"
"4679710","46",7,809,143000,2000,151000,5,"03","3","KG","12","33","Town"
"4680100","46",7,211,50000,1000,44000,3,"03","3","KG","12","43","Rural"
"4680120","46",7,NA,NA,NA,NA,1,NA,NA,"N","N","32","Town"
"4680130","46",7,37,0,0,0,2,"01","3","PK","08",NA,NA
"4680150","46",7,NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA
"4680170","46",7,NA,NA,NA,NA,1,NA,NA,"N","N","33","Town"
"4680190","46",7,174,38000,0,30000,2,"03","3","KG","12","43","Rural"
"4680200","46",7,NA,NA,NA,NA,-2,NA,NA,"N","N",NA,NA
"4680220","46",7,NA,NA,NA,NA,2,NA,NA,"N","N",NA,NA
"4680240","46",7,NA,NA,NA,NA,0,NA,NA,"N","N",NA,NA
"4680280","46",7,NA,NA,NA,NA,0,NA,NA,"N","N","43","Rural"
"4680430","46",7,2898,748000,8000,493000,6,"03","3","PK","12","33","Town"
"4680431","46",7,NA,NA,NA,NA,1,NA,NA,"N","N","43","Rural"
"4680437","46",7,379,70000,1000,81000,5,"03","3","PK","12","43","Rural"
"4680438","46",7,451,70000,1000,120000,7,"03","3","PK","12","43","Rural"
"4680439","46",7,304,90000,1000,58000,3,"03","3","PK","12","43","Rural"
"4700001","47",7,9996,1714000,56000,2519000,18,"03","3","PK","12","13","Urban"
"4700030","47",7,624,0,3000,230000,1,"01","3","PK","06","32","Town"
"4700060","47",7,1666,0,7000,368000,3,"03","3","PK","12","21","Urban"
"4700090","47",7,8014,1171000,34000,1871000,17,"03","3","PK","12","21","Urban"
"4700120","47",7,1849,3e+05,12000,207000,6,"03","3","PK","09","32","Town"
"4700143","47",7,NA,NA,NA,NA,1,NA,NA,"PK","06","13","Urban"
"4700144","47",7,NA,NA,NA,NA,1,NA,NA,"09","12","43","Rural"
"4700145","47",7,NA,NA,NA,NA,1,NA,NA,"PK","12","11","Urban"
"4700146","47",7,NA,NA,NA,NA,3,NA,NA,"PK","12","12","Urban"
"4700180","47",7,7708,1241000,40000,1917000,12,"03","3","PK","12","32","Town"
"4700210","47",7,411,56000,3000,154000,1,"01","3","PK","05","32","Town"
"4700240","47",7,2541,0,16000,918000,8,"03","3","PK","12","33","Town"
"4700270","47",7,1969,311000,11000,655000,6,"03","3","PK","12","42","Rural"
"4700300","47",7,11950,0,58000,2358000,19,"03","3","PK","12","41","Rural"
"4700330","47",7,10335,2136000,54000,2310000,17,"03","3","PK","12","41","Rural"
"4700360","47",7,4074,791000,20000,839000,8,"03","3","PK","12","13","Urban"
"4700420","47",7,4920,802000,33000,1951000,16,"03","3","PK","12","41","Rural"
"4700450","47",7,2193,415000,11000,545000,7,"03","3","PK","12","42","Rural"
"4700480","47",7,-3,4000,0,5000,2,"05","3","10","12","43","Rural"
"4700510","47",7,6005,853000,0,1852000,17,"03","3","PK","12","22","Urban"
"4700570","47",7,6921,1487000,33000,1126000,13,"03","3","PK","12","41","Rural"
"4700600","47",7,2712,455000,15000,620000,6,"03","3","PK","12","32","Town"
"4700630","47",7,4974,938000,26000,1483000,14,"03","3","PK","12","41","Rural"
"4700660","47",7,1110,159000,7000,367000,5,"03","3","PK","12","43","Rural"
